entry_time,exit_time,direction,entry_tsla,entry_mexc,exit_tsla,exit_mexc,entry_z,exit_z,holding_bars,exit_reason,pnl_gross,pnl_fees_mexc,pnl_fees_nyse,pnl_fees,pnl_net
2026-03-02 16:51:00,2026-03-02 16:55:00,long_mexc,403.9849853515625,403.62,404.1799011230469,404.04,-2.7095753666544207,0.26194589655802164,4,signal,0.22508422851564092,0.24229800000000004,0.02,0.26229800000000003,-0.037213771484359115
2026-03-02 17:02:00,2026-03-02 17:03:00,short_mexc,402.739990234375,402.82,403.17999267578125,403.03,2.405325952352428,-0.08290789820051044,1,signal,0.23000244140627046,0.241755,0.02,0.261755,-0.03175255859372955
2026-03-02 17:12:00,2026-03-02 17:13:00,long_mexc,403.57501220703125,403.24,403.2099914550781,403.09,-2.080171183002701,0.3723621908409568,1,signal,0.2150207519530909,0.241899,0.02,0.261899,-0.0468782480469091
2026-03-02 17:25:00,2026-03-02 17:45:00,short_mexc,403.30999755859375,403.47,401.4549865722656,401.54,2.596912112147324,1.4624809235495622,20,max_holding,0.07498901367188182,0.24150300000000002,0.02,0.26150300000000004,-0.18651398632811822
2026-03-02 17:50:00,2026-03-02 18:10:00,short_mexc,401.7550048828125,402.05,401.0979919433594,401.51,2.8531379933112246,2.2599048923050833,20,max_holding,-0.11701293945310454,0.241068,0.02,0.261068,-0.37808093945310456
2026-03-02 19:02:00,2026-03-02 19:03:00,short_mexc,400.2699890136719,400.8,400.760009765625,401.0,2.0792740689041427,-0.25935910154409514,1,signal,0.29002075195313637,0.24054,0.02,0.26054,0.029480751953136375
2026-03-02 19:42:00,2026-03-02 19:55:00,short_mexc,402.3500061035156,402.86,402.2099914550781,402.55,2.0080092452375147,-0.2145807980025328,13,signal,0.16998535156250227,0.24162300000000006,0.02,0.26162300000000005,-0.09163764843749778
2026-03-02 20:01:00,2026-03-02 20:02:00,short_mexc,402.1268005371094,402.61,402.2900085449219,402.64,2.073779910228283,-0.23111998848732465,1,signal,0.13320800781252728,0.241575,0.02,0.261575,-0.12836699218747272
2026-03-02 20:07:00,2026-03-02 20:08:00,long_mexc,401.489990234375,401.66,400.7699890136719,401.39,-2.504202204190138,3.3964072391710625,1,signal,0.45000122070308635,0.24091500000000002,0.02,0.260915,0.18908622070308634
2026-03-02 20:16:00,2026-03-02 20:31:00,short_mexc,399.19500732421875,399.74,400.1700134277344,400.48,3.381363183058475,-0.7342605884942941,15,signal,0.2350061035156159,0.24006600000000003,0.02,0.260066,-0.025059896484384114
2026-03-02 20:42:00,2026-03-02 20:49:00,short_mexc,400.2850036621094,400.9,401.4700012207031,401.84,2.0329857572992402,-0.40298314494750564,7,signal,0.24499755859375227,0.24082200000000004,0.02,0.26082200000000005,-0.01582444140624778
2026-03-02 20:55:00,2026-03-02 20:59:00,long_mexc,402.5249938964844,402.7,403.2349853515625,403.65,-2.3594688219114897,0.01818644834929094,5,session_end,0.24000854492186363,0.241905,0.02,0.261905,-0.021896455078136368
2026-03-03 14:34:00,2026-03-03 14:35:00,long_mexc,395.04998779296875,395.18,393.64581298828125,394.2,-3.0571327400660264,1.0859978402408812,1,signal,0.4241748046874818,0.23681400000000002,0.02,0.25681400000000004,0.16736080468748177
2026-03-03 14:38:00,2026-03-03 14:39:00,long_mexc,393.65509033203125,393.84,393.5299987792969,394.02,-2.1561885989744263,0.911735686498733,1,signal,0.3050915527343818,0.23635799999999998,0.02,0.256358,0.048733552734381846
2026-03-03 15:09:00,2026-03-03 15:10:00,long_mexc,391.8299865722656,392.0,391.8999938964844,392.3,-2.4279922699877243,0.13201552323040555,1,signal,0.22999267578126137,0.23529,0.02,0.25529,-0.025297324218738648
2026-03-03 15:21:00,2026-03-03 15:33:00,short_mexc,388.8900146484375,389.61,388.07000732421875,388.47,2.3475199234446937,-0.3386828587088248,12,signal,0.31999267578123636,0.23342400000000002,0.02,0.25342400000000004,0.06656867578123632
2026-03-03 15:40:00,2026-03-03 15:48:00,short_mexc,386.4100036621094,387.22,387.32000732421875,387.74,2.459749716673725,-0.3502259988941256,8,signal,0.3900036621093932,0.23248800000000003,0.02,0.25248800000000005,0.13751566210939314
2026-03-03 16:02:00,2026-03-03 16:05:00,short_mexc,387.78680419921875,388.57,389.06500244140625,389.44,2.0501643015501254,-0.6812660324231365,3,signal,0.40819824218749545,0.23340300000000003,0.02,0.25340300000000004,0.1547952421874954
2026-03-03 16:41:00,2026-03-03 16:44:00,long_mexc,391.5299987792969,391.76,391.42999267578125,391.98,-2.6166326036973535,0.1393337231079226,3,signal,0.3200061035156523,0.23512200000000003,0.02,0.255122,0.06488410351565227
2026-03-03 17:11:00,2026-03-03 17:20:00,short_mexc,390.5101013183594,391.3,391.75,392.24,2.079801448691014,-0.014582922834698305,9,signal,0.2998986816406273,0.23506200000000002,0.02,0.255062,0.04483668164062726
2026-03-03 17:41:00,2026-03-03 17:42:00,long_mexc,390.5799865722656,390.82,390.385009765625,391.04,-2.3125641626715754,1.131602434696519,1,signal,0.4149768066406523,0.23455800000000002,0.02,0.254558,0.16041880664065228
2026-03-03 18:24:00,2026-03-03 18:26:00,long_mexc,393.6400146484375,393.95,393.32000732421875,393.86,-2.388138002643262,0.27429788724816995,2,signal,0.230007324218775,0.236343,0.02,0.256343,-0.026335675781224976
2026-03-03 18:40:00,2026-03-03 18:41:00,long_mexc,394.5150146484375,394.8,394.45001220703125,394.95,-2.2686378039732014,0.37371630441033,1,signal,0.21500244140622726,0.23692500000000002,0.02,0.256925,-0.04192255859377275
2026-03-03 18:51:00,2026-03-03 18:54:00,long_mexc,394.42999267578125,394.65,393.127685546875,393.68,-2.144482770716257,0.5993958847486258,3,signal,0.33230712890627956,0.236499,0.02,0.256499,0.07580812890627958
2026-03-03 19:07:00,2026-03-03 19:09:00,long_mexc,392.7325134277344,392.98,391.8900146484375,392.39,-2.046436247639998,0.8709276558450393,2,signal,0.25249877929684317,0.23561100000000001,0.02,0.25561100000000003,-0.003112220703156865
2026-03-03 19:12:00,2026-03-03 19:19:00,long_mexc,391.5804138183594,391.7,391.885009765625,392.39,-3.6105627609294118,0.8825529789890676,7,signal,0.3854040527343727,0.235227,0.02,0.255227,0.13017705273437274
2026-03-03 19:27:00,2026-03-03 19:31:00,short_mexc,391.7799987792969,392.4,392.05010986328125,392.3,2.096540396994671,-1.833373294443687,4,signal,0.3701110839843409,0.23541000000000004,0.02,0.25541,0.11470108398434087
2026-03-03 19:38:00,2026-03-03 19:39:00,long_mexc,393.7900085449219,393.9,393.4577941894531,393.8,-3.140525216346896,0.06693012198744029,1,signal,0.2322143554687841,0.23631000000000005,0.02,0.25631000000000004,-0.024095644531215932
2026-03-03 19:40:00,2026-03-03 19:55:00,long_mexc,393.2950134277344,393.33,393.31500244140625,393.67,-3.4666953599788464,0.020394846974698205,15,signal,0.32001098632815683,0.23610000000000003,0.02,0.25610000000000005,0.06391098632815678
2026-03-03 20:07:00,2026-03-03 20:13:00,long_mexc,393.26409912109375,393.26,392.9800109863281,393.34,-2.52992737743814,0.3145646333480573,6,signal,0.3640881347656091,0.23598,0.02,0.25598,0.1081081347656091
2026-03-04 14:34:00,2026-03-04 14:54:00,long_mexc,403.0815124511719,403.1,398.2699890136719,398.43,-2.5088129201846003,-0.35754213510505883,20,max_holding,0.14152343749998408,0.240459,0.02,0.260459,-0.11893556250001591
2026-03-04 16:39:00,2026-03-04 16:40:00,long_mexc,404.55999755859375,404.1,404.5150146484375,404.4,-3.3883467591855183,0.7833818502793118,1,signal,0.3449829101562045,0.24255000000000002,0.02,0.26255,0.08243291015620452
2026-03-04 16:42:00,2026-03-04 16:45:00,long_mexc,405.32000732421875,404.96,405.9901123046875,405.9,-2.9397137120545462,0.23532771418909296,3,signal,0.2698950195312477,0.243258,0.02,0.263258,0.006637019531247734
2026-03-04 16:55:00,2026-03-04 17:02:00,short_mexc,406.5,406.6,406.5840148925781,406.44,2.370561940189817,-0.012048228444159828,7,signal,0.24401489257815,0.24391200000000002,0.02,0.26391200000000004,-0.019897107421850024
2026-03-04 17:14:00,2026-03-04 17:15:00,short_mexc,405.968994140625,406.1,406.10009765625,405.92,2.8789567375908964,-0.9001461156590408,1,signal,0.3111035156250068,0.24360600000000002,0.02,0.263606,0.047497515625006814
2026-03-04 17:25:00,2026-03-04 17:27:00,long_mexc,405.42498779296875,405.11,405.2366027832031,405.2,-2.1007101166251387,0.6486488439996781,2,signal,0.2783850097656,0.243093,0.02,0.263093,0.015292009765599968
2026-03-04 17:38:00,2026-03-04 17:41:00,short_mexc,404.5,404.67,404.5350036621094,404.24,3.1308929620946144,-1.8093846489418204,3,signal,0.4650036621093818,0.24267300000000006,0.02,0.26267300000000005,0.20233066210938178
2026-03-04 17:46:00,2026-03-04 17:48:00,short_mexc,404.731201171875,404.79,404.4549865722656,404.31,2.145925918735383,-0.16196946993397246,2,signal,0.2037854003906432,0.24273000000000003,0.02,0.26273,-0.05894459960935683
2026-03-04 17:58:00,2026-03-04 18:04:00,short_mexc,403.5098876953125,403.69,404.3953857421875,404.2,2.486231990999755,-0.9509002311636909,6,signal,0.3754980468750091,0.24236700000000003,0.02,0.262367,0.11313104687500908
2026-03-04 19:07:00,2026-03-04 19:12:00,short_mexc,406.1000061035156,406.47,405.82000732421875,405.69,4.716170324075935,-0.23227692749983478,5,signal,0.5000012207031546,0.24364800000000006,0.02,0.26364800000000005,0.2363532207031545
2026-03-04 20:05:00,2026-03-04 20:07:00,long_mexc,406.6199951171875,406.4,406.3299865722656,406.29,-2.173597116245544,0.31999573327662784,2,signal,0.1800085449219182,0.24380700000000005,0.02,0.26380700000000007,-0.08379845507808187
2026-03-04 20:35:00,2026-03-04 20:39:00,long_mexc,407.17999267578125,406.9,407.3500061035156,407.3,-2.1240099793884952,0.10851442055221625,4,signal,0.2299865722656591,0.24426000000000003,0.02,0.26426000000000005,-0.034273427734340944
2026-03-04 20:40:00,2026-03-04 20:42:00,long_mexc,407.3612976074219,407.11,407.65509033203125,407.59,-2.0926140786648872,0.1769468763151374,2,signal,0.18620727539058635,0.24441000000000004,0.02,0.26441000000000003,-0.07820272460941369
2026-03-04 20:52:00,2026-03-04 20:58:00,short_mexc,406.1700134277344,406.3,405.6300048828125,405.4,2.276921132390058,-1.4824446674713272,6,signal,0.3599914550781591,0.24351000000000003,0.02,0.26351,0.09648145507815908
2026-03-05 14:31:00,2026-03-05 14:33:00,short_mexc,401.2911071777344,401.62,402.6499938964844,402.1,5.405867863517318,-4.99428399564622,2,signal,0.8788867187499818,0.24111600000000002,0.02,0.261116,0.6177707187499818
2026-03-05 14:34:00,2026-03-05 14:36:00,long_mexc,403.9989929199219,403.2,403.2200012207031,403.27,-5.592329501134141,1.0243772224548595,2,signal,0.8489916992187432,0.24194100000000002,0.02,0.26194100000000003,0.5870506992187432
2026-03-05 14:37:00,2026-03-05 14:39:00,long_mexc,404.1400146484375,403.5,404.29998779296875,404.79,-3.464547821340204,3.4920296357537337,2,signal,1.1300268554687705,0.242487,0.02,0.262487,0.8675398554687704
2026-03-05 14:43:00,2026-03-05 14:44:00,short_mexc,403.8900146484375,404.17,404.1199951171875,404.0,2.2493888285452264,-0.36420816094998254,1,signal,0.3999804687500159,0.24245100000000006,0.02,0.26245100000000005,0.13752946875001587
2026-03-05 14:47:00,2026-03-05 14:50:00,long_mexc,404.5199890136719,403.9,404.9800109863281,405.38,-2.656330249750813,2.591818506952338,3,signal,1.0199780273437682,0.24278400000000003,0.02,0.262784,0.7571940273437682
2026-03-05 14:53:00,2026-03-05 14:54:00,short_mexc,406.0498962402344,406.46,406.0350036621094,405.4,2.8019178970735252,-2.4633137601700446,1,signal,1.0451074218750023,0.243558,0.02,0.263558,0.7815494218750023
2026-03-05 15:04:00,2026-03-05 15:06:00,short_mexc,405.2001037597656,405.75,405.82501220703125,405.56,2.6986285825141154,-0.45450075670914764,2,signal,0.8149084472656227,0.243393,0.02,0.263393,0.5515154472656227
2026-03-05 15:42:00,2026-03-05 15:43:00,long_mexc,405.6062927246094,404.84,404.67999267578125,404.73,-2.094108631222913,0.36854613304738587,1,signal,0.8163000488281682,0.242871,0.02,0.262871,0.5534290488281681
2026-03-05 17:22:00,2026-03-05 17:25:00,short_mexc,403.17498779296875,403.94,404.2401123046875,404.09,2.029882001999626,-0.530460784679685,3,signal,0.9151245117187727,0.242409,0.02,0.262409,0.6527155117187727
2026-03-05 17:32:00,2026-03-05 17:38:00,short_mexc,401.7250061035156,402.51,402.78759765625,402.69,2.0324866639580654,-0.46181859703153033,6,signal,0.8825915527343682,0.24156000000000002,0.02,0.26156,0.6210315527343682
2026-03-05 19:30:00,2026-03-05 19:31:00,long_mexc,401.70001220703125,401.3,401.0799865722656,401.38,-2.195759071570266,0.37345035912909214,1,signal,0.7000256347656091,0.24080400000000005,0.02,0.26080400000000004,0.43922163476560905
2026-03-05 19:45:00,2026-03-05 19:52:00,long_mexc,400.9599914550781,400.6,401.3999938964844,401.84,-2.0018825747194398,0.7854765525812575,7,signal,0.7999975585937023,0.24073200000000003,0.02,0.260732,0.5392655585937023
2026-03-05 20:05:00,2026-03-05 20:06:00,long_mexc,401.7561950683594,401.3,401.1499938964844,401.38,-2.1526468690765768,0.05590126477497933,1,signal,0.6862011718749841,0.24080400000000005,0.02,0.26080400000000004,0.42539717187498405
2026-03-05 20:30:00,2026-03-05 20:31:00,short_mexc,402.7699890136719,403.54,403.4125061035156,403.37,2.0390438354714373,-0.4908997703766759,1,signal,0.8125170898437659,0.24207300000000004,0.02,0.26207300000000006,0.5504440898437659
2026-03-05 20:50:00,2026-03-05 20:51:00,long_mexc,404.6000061035156,404.0,404.260009765625,404.7,-2.1694855592207007,1.0027425596351045,1,signal,1.0399963378906136,0.24261000000000005,0.02,0.26261000000000007,0.7773863378906136
2026-03-06 14:41:00,2026-03-06 14:42:00,short_mexc,394.9599914550781,395.8,395.3999938964844,395.27,2.612994074482482,-0.7631155946090612,1,signal,0.9700024414062796,0.237321,0.02,0.257321,0.7126814414062795
2026-03-06 14:47:00,2026-03-06 14:49:00,short_mexc,395.2699890136719,396.0,395.8999938964844,395.5,2.0929757114489815,-1.5600974169703439,2,signal,1.1300048828125,0.23745000000000002,0.02,0.25745,0.8725548828125
2026-03-06 14:55:00,2026-03-06 14:57:00,short_mexc,396.4100036621094,397.24,396.29998779296875,396.1,2.2451543027801755,-1.0383035124769557,2,signal,1.0299841308593614,0.23800200000000002,0.02,0.258002,0.7719821308593613
2026-03-06 15:00:00,2026-03-06 15:03:00,short_mexc,396.0299987792969,396.89,398.1300048828125,398.0,2.2439900659837293,-0.7395816413449975,3,signal,0.9900061035156114,0.238467,0.02,0.258467,0.7315391035156114
2026-03-06 15:10:00,2026-03-06 15:12:00,short_mexc,396.4700012207031,397.27,397.5799865722656,397.56,2.0126056917973085,-0.5197861373117824,2,signal,0.8199853515624795,0.238449,0.02,0.258449,0.5615363515624796
2026-03-06 15:27:00,2026-03-06 15:35:00,short_mexc,397.2699890136719,398.18,397.2099914550781,397.06,2.0897199890091995,-0.897550954401858,8,signal,1.0600024414062545,0.23857200000000003,0.02,0.258572,0.8014304414062545
2026-03-06 16:16:00,2026-03-06 16:17:00,long_mexc,399.0400085449219,398.6,398.7601013183594,399.15,-2.056527348670527,0.3694100783985636,1,signal,0.8299072265624545,0.239325,0.02,0.259325,0.5705822265624545
2026-03-06 16:43:00,2026-03-06 16:50:00,long_mexc,400.2257080078125,399.6,400.8999938964844,401.46,-2.292738758233536,1.1920019383475204,7,signal,1.1857141113280818,0.240318,0.02,0.260318,0.9253961113280817
2026-03-06 18:51:00,2026-03-06 18:56:00,short_mexc,399.19000244140625,400.0,398.6449890136719,398.46,2.037689840368665,-1.031769537876301,5,signal,0.9949865722656455,0.23953800000000003,0.02,0.25953800000000005,0.7354485722656454
2026-03-06 20:22:00,2026-03-06 20:27:00,short_mexc,398.0599060058594,398.91,397.0899963378906,397.05,2.1839496643839804,-1.0318915387238516,5,signal,0.8900903320312636,0.23878800000000003,0.02,0.258788,0.6313023320312636
2026-03-06 20:32:00,2026-03-06 20:40:00,short_mexc,396.79998779296875,397.75,397.2200012207031,397.41,2.0017764328616043,-0.36768521732726234,8,signal,0.76001342773435,0.23854800000000004,0.02,0.25854800000000006,0.50146542773435
